"Category","Name","Manufacturer","Scheme","Assurance Level","Protection Profile(s)","Certification Date","Archived Date","Certification Report URL","Security Target URL","Maintenance Date","Maintenance Title","Maintenance Report","Maintenance ST"
"Mobility","Dencrypt Connex 6.0 for Apple iOS","Dencrypt A&#x2f;S","SE","EAL4,ALC_FLR.2","","07/09/2021","07/09/2026","http://216.117.4.138:80/files/epfiles/Certification Report - Dencrypt Connex 6.0.pdf","http://216.117.4.138:80/files/epfiles/ST - Dencrypt Connex.pdf","","","",""
"Mobility","Dencrypt Server System 5.0","Dencrypt A&#x2f;S","SE","EAL2,ALC_FLR.2","","07/09/2021","07/09/2026","http://216.117.4.138:80/files/epfiles/Certification Report - Dencrypt Server System 5.0.pdf","http://216.117.4.138:80/files/epfiles/ST - Dencrypt Server.pdf","","","",""
"Mobility","TOUGHBOOK N1 on Android 9","Panasonic of North America","US","None","PP_MD_V3.1,PP_WLAN_CLI_EP_V1.0","06/11/2021","06/11/2023","http://216.117.4.138:80/files/epfiles/st_vid11172-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11172-st.pdf","","","",""
"Mobility","Samsung Galaxy Devices on Android 11 - Spring","Samsung Electronics Co., Ltd.","US","None","MOD_VPN_CLI_V2.1,PP_MD_V3.1,PP_WLAN_CLI_EP_V1.0","03/15/2021","03/15/2023","http://216.117.4.138:80/files/epfiles/st_vid11160-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11160-st.pdf","","","",""
"Mobility","Honeywell Mobility Edge Mobile Computer on Android 9","Honeywell International Inc.","US","None","PP_MD_V3.1,PP_WLAN_CLI_EP_V1.0","03/03/2021","03/03/2023","http://216.117.4.138:80/files/epfiles/st_vid11120-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11120-st.pdf","","","",""
"Mobility","Zebra Devices on Android 10","Zebra Technologies","US","None","PP_MD_V3.1,PP_WLAN_CLI_EP_V1.0","03/02/2021","03/02/2023","http://216.117.4.138:80/files/epfiles/st_vid11114-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11114-st.pdf","","","",""
"Mobility","Google Pixel Phones on Android 11.0","Google LLC","US","None","PP_MD_V3.1,PP_WLAN_CLI_EP_V1.0","02/08/2021","02/08/2023","http://216.117.4.138:80/files/epfiles/st_vid11124-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11124-st.pdf","","","",""
"Mobility","Apple iOS 13 on iPhone and Apple iPadOS 13 on iPad Mobile Devices","Apple Inc.","US","None","MOD_MDM_AGENT_V1.0,MOD_VPN_CLI_V2.1,PP_MD_V3.1,PP_WLAN_CLI_EP_V1.0","11/06/2020","11/06/2022","http://216.117.4.138:80/files/epfiles/st_vid11036-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11036-st.pdf","","","",""
"Mobility","Samsung Galaxy Devices on Android 10 - Fall","Samsung Electronics Co., Ltd.","US","None","MOD_VPN_CLI_V2.1,PP_MD_V3.1,PP_WLAN_CLI_EP_V1.0","10/15/2020","10/15/2022","http://216.117.4.138:80/files/epfiles/st_vid11109-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11109-st.pdf","","","",""
"Mobility","Samsung Galaxy Devices on Android 10 - Spring","Samsung Electronics Co., Ltd.","US","None","MOD_VPN_CLI_V2.1,PP_MD_V3.1,PP_WLAN_CLI_EP_V1.0","04/30/2020","04/30/2022","http://216.117.4.138:80/files/epfiles/st_vid11042-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11042-st.pdf","08/19/2020","SAMSUNG GALAXY DEVICES ON ANDROID 10 - SPRING","http://216.117.4.138:80/files/epfiles/st_vid11042-add1.pdf","http://216.117.4.138:80/files/epfiles/st_vid11042-st.pdf"
"Mobility","Samsung Galaxy Devices on Android 10 - Spring","Samsung Electronics Co., Ltd.","US","None","MOD_VPN_CLI_V2.1,PP_MD_V3.1,PP_WLAN_CLI_EP_V1.0","04/30/2020","04/30/2022","http://216.117.4.138:80/files/epfiles/st_vid11042-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11042-st.pdf","10/12/2020","Samsung Galaxy Devices on Android 10 - Spring","http://216.117.4.138:80/files/epfiles/st_vid11042-add2.pdf","http://216.117.4.138:80/files/epfiles/st_vid11042-st-2.pdf"
"Mobility","Samsung Galaxy Devices on Android 10 - Spring","Samsung Electronics Co., Ltd.","US","None","MOD_VPN_CLI_V2.1,PP_MD_V3.1,PP_WLAN_CLI_EP_V1.0","04/30/2020","04/30/2022","http://216.117.4.138:80/files/epfiles/st_vid11042-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11042-st.pdf","","","",""
"Mobility","BlackBerry Unified Endpoint Management (UEM) Server and Android Client, version 12","","US","None","MOD_MDM_AGENT_V1.0,PKG_TLS_V1.1,PP_MDM_V4.0","04/28/2020","04/28/2022","http://216.117.4.138:80/files/epfiles/st_vid11040-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11040-st.pdf","","","",""
"Mobility","VMware Workspace ONE Unified Endpoint Management Version 1907","VMware, Inc.","US","None","MOD_MDM_AGENT_V1.0,PP_MDM_V4.0","03/25/2020","03/25/2022","http://216.117.4.138:80/files/epfiles/st_vid11026-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11026-st.pdf","","","",""
"Mobility","Google Pixel Phones on Android 10","Google LLC","US","None","PP_MD_V3.1,PP_WLAN_CLI_EP_V1.0","02/21/2020","02/21/2022","http://216.117.4.138:80/files/epfiles/st_vid11019-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11019-st.pdf","","","",""
"Mobility","Samsung SDS EMM v2.2.5","Samsung SDS Co., Ltd.","US","None","MOD_MDM_AGENT_V1.0,PKG_TLS_V1.1,PP_MDM_V4.0","01/27/2020","04/26/2022","http://216.117.4.138:80/files/epfiles/st_vid11013-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11013-st.pdf","04/26/2021","Samsung SDS EMM v2.2.5","http://216.117.4.138:80/files/epfiles/st_vid11013-add1.pdf","http://216.117.4.138:80/files/epfiles/st_vid11013-st.pdf"
"Mobility","Samsung SDS EMM v2.2.5","Samsung SDS Co., Ltd.","US","None","MOD_MDM_AGENT_V1.0,PKG_TLS_V1.1,PP_MDM_V4.0","01/27/2020","04/26/2022","http://216.117.4.138:80/files/epfiles/st_vid11013-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11013-st.pdf","","","",""
"Mobility","Motorola Lex L11","Motorola Solutions, Inc.","US","None","PP_MD_V3.1,PP_WLAN_CLI_EP_V1.0","01/23/2020","01/21/2022","http://216.117.4.138:80/files/epfiles/st_vid11002-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11002-st.pdf","","","",""
"Mobility","Gemalto Advanced Whitebox PKI SDK for Android v1.0.1.300","Thales","NL","EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_TAT.1,AVA_VAN.3","","12/24/2019","12/24/2024","http://216.117.4.138:80/files/epfiles/Certification Report NSCIB-CC-230855-CR.pdf","http://216.117.4.138:80/files/epfiles/R0R28657_AWPKI_SDK_ST_V17p.pdf","","","",""
"Mobility","Bittium Tough Mobile  C  &#x28;BTMC&#x29;.  HW  version&#x3a;  9304809A03.  SW  version&#x3a;  Android  5.1.1. Kernel   version&#x3a; 3.4.0. Build&#x3a; S2_BSOS_1.1.5C_MR22_sapphire2","Bittium Wireless OY","ES","EAL2","","06/17/2019","","http://216.117.4.138:80/files/epfiles/2017-25-INF-2751.pdf","http://216.117.4.138:80/files/epfiles/2017-25-STlite.pdf","","","",""
"Mobility","COMSec Admin&#x2b; v3.1.11a_CA&#x2b;","INDRA Sistemas de Comunicaciones Seguras, S.L","ES","None,ADV_FSP.1,AGD_OPE.1,AGD_PRE.1,ALC_CMC.1,ALC_CMS.1,ASE_CCL.1,ASE_ECD.1,ASE_INT.1,ASE_OBJ.2,ASE_REQ.2,ASE_SPD.1,ASE_TSS.1,ATE_IND.1,AVA_VAN.1","","04/12/2019","","http://216.117.4.138:80/files/epfiles/2017-21-INF-2513.pdf","http://216.117.4.138:80/files/epfiles/2017-21-ST_lite.pdf","","","",""
"Mobility","BlackBerry Enterprise Service Version 12.5","Blackberry","CA","None","PP_MDM_V2.0","01/11/2019","01/11/2024","http://216.117.4.138:80/files/epfiles/383-4-390 CR v1.2e.pdf","http://216.117.4.138:80/files/epfiles/383-4-390 ST v1.12.pdf","","","",""
"Mobility","Dencrypt Server System version 2.0","Dencrypt A&#x2f;S","SE","EAL2,ALC_FLR.1","","11/21/2017","","http://216.117.4.138:80/files/epfiles/Certification Report - Dencrypt Server Systems.pdf","http://216.117.4.138:80/files/epfiles/Security Target for Dencrypt Server System, version 1.1.pdf (381885) (0)_TMP.pdf","","","",""
"Mobility","Dencrypt Talk for the iPhone version 4.2.794","Dencrypt A&#x2f;S","SE","EAL4,ALC_FLR.1","","11/21/2017","","http://216.117.4.138:80/files/epfiles/Certification Report - Dencrypt Talk App.pdf","http://216.117.4.138:80/files/epfiles/Security Target for Dencrypt Talk, version 1.0.pdf (381890) (0)_TMP.pdf","","","",""
"Mobility","BlackBerry Smartphones with OS 10.3.3","Blackberry","CA","None","PP_MDM_AGENT_V2.0,PP_MD_V2.0","01/09/2017","01/09/2022","http://216.117.4.138:80/files/epfiles/383-4-391 CR v1.1e.pdf","http://216.117.4.138:80/files/epfiles/383-4-391 ST v1.10.pdf","","","",""
"Mobility","Sony Xperia&trade; X and Sony Xperia&trade; X Performance","Sony Mobile Communications Inc.","SE","EAL1","PP_MD_V2.0","12/07/2016","","http://216.117.4.138:80/files/epfiles/Certification Report Sony X.pdf","http://216.117.4.138:80/files/epfiles/Sony-CC-SecurityTarget_v1.2(348227)_TMP.pdf","","","",""
"Multi-Function Devices","RICOH IM 2500/3000/3500/4000/5000/6000 version JE-1.00-H","Ricoh Company, Ltd.","CA","None","PP_HCD_V1.0","10/18/2021","10/18/2026","http://216.117.4.138:80/files/epfiles/557-LSS CR v1.1.pdf","http://216.117.4.138:80/files/epfiles/557-LSS ST v1.4.pdf","","","",""
"Multi-Function Devices","RICOH IM 7000/8000/9000/9000T version JE-1.00-H","Ricoh Company, Ltd.","CA","None","PP_HCD_V1.0","10/18/2021","10/18/2026","http://216.117.4.138:80/files/epfiles/558-LSS CR v1.1.pdf","http://216.117.4.138:80/files/epfiles/558-LSS ST v1.4.pdf","","","",""
"Multi-Function Devices","RICOH IM C530F/C530FB version E-1.00-H","Ricoh Company, Ltd.","CA","None","PP_HCD_V1.0","10/13/2021","08/31/2026","http://216.117.4.138:80/files/epfiles/556-LSS CR v1.1.pdf","http://216.117.4.138:80/files/epfiles/556-LSS  ST v1.5.pdf","","","",""
"Multi-Function Devices","HP Digital Sender Flow 8500 fn2 Document Capture Workstation and HP ScanJet Enterprise Flow N9120 fn2 Document Scanner with HP FutureSmart 4.11.0.1 Firmware","HP Inc.","IT","None","PP_HCD_V1.0","09/23/2021","09/23/2026","http://216.117.4.138:80/files/epfiles/cr_hp_scn_fs411_v1.0_en.pdf","http://216.117.4.138:80/files/epfiles/st_hp_scn_fs411_v1.2.pdf","","","",""
"Multi-Function Devices","HP LaserJet Enterprise M507, HP Color LaserJet Enterprise M751, HP Color LaserJet Managed E75245 printers with HP FutureSmart 4.11.0.1 Firmware","HP Inc.","IT","None","PP_HCD_V1.0","09/23/2021","09/23/2026","http://216.117.4.138:80/files/epfiles/cr_hp_sfp_fs411_v1.0_en.pdf","http://216.117.4.138:80/files/epfiles/st_hp_sfp_fs411_v1.2.pdf","","","",""
"Multi-Function Devices","RICOH IM 7000/8000/9000, SAVIN IM 7000/8000/9000, LANIER IM 7000/8000/9000, nashuatec IM 7000/8000/9000, Rex Rotary IM 7000/8000/9000, Gestetner IM 7000/8000/9000 E-1.00","Ricoh Company, Ltd.","JP","EAL2+,ALC_FLR.2","PP_HCD_EAL2_V1.0","09/17/2021","09/17/2026","http://216.117.4.138:80/files/epfiles/c0729_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0729_est.pdf","","","",""
"Multi-Function Devices","RICOH IM 9000/9000T/8000/7000J-1.00","Ricoh Company, Ltd.","JP","EAL2+,ALC_FLR.2","PP_HCD_EAL2_V1.0","09/17/2021","09/17/2026","http://216.117.4.138:80/files/epfiles/c0730_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0730_est.pdf","","","",""
"Multi-Function Devices","EPSON LX-10020M/WF-M21000 with FAX 1.00","SEIKO EPSON CORPORATION","JP","EAL2,ALC_FLR.2","PP_HCD_EAL2_V1.0","08/23/2021","08/23/2026","http://216.117.4.138:80/files/epfiles/c0728_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0728_est.pdf","","","",""
"Multi-Function Devices","Xerox® AltaLink™ C8130, C8135, C8145, C8155, C8170 & B8145, B8155, B8170 with HDD","Xerox Corporation","US","None","PP_HCD_V1.0","08/20/2021","08/20/2023","http://216.117.4.138:80/files/epfiles/st_vid11150-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11150-st.pdf","11/16/2021","Xerox® AltaLink™ C8130, C8135, C8145, C8155, C8170 & B8145, B8155, B8170 with HDD","http://216.117.4.138:80/files/epfiles/st_vid11150-add1.pdf","http://216.117.4.138:80/files/epfiles/st_vid11150-st.pdf"
"Multi-Function Devices","Xerox® AltaLink™ C8130, C8135, C8145, C8155, C8170 & B8145, B8155, B8170 with HDD","Xerox Corporation","US","None","PP_HCD_V1.0","08/20/2021","08/20/2023","http://216.117.4.138:80/files/epfiles/st_vid11150-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11150-st.pdf","","","",""
"Multi-Function Devices","Xerox® AltaLink™ C8130, C8135, C8145, C8155, C8170 & B8145, B8155, B8170 with SSD","Xerox Corporation","US","None","PP_HCD_V1.0","08/20/2021","08/20/2023","http://216.117.4.138:80/files/epfiles/st_vid11149-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11149-st.pdf","11/16/2021","Xerox® AltaLink™ C8130, C8135, C8145, C8155, C8170 & B8145, B8155, B8170 with SSD","http://216.117.4.138:80/files/epfiles/st_vid11149-add1.pdf","http://216.117.4.138:80/files/epfiles/st_vid11149-st.pdf"
"Multi-Function Devices","Xerox® AltaLink™ C8130, C8135, C8145, C8155, C8170 & B8145, B8155, B8170 with SSD","Xerox Corporation","US","None","PP_HCD_V1.0","08/20/2021","08/20/2023","http://216.117.4.138:80/files/epfiles/st_vid11149-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11149-st.pdf","","","",""
"Multi-Function Devices","RICOH IM C4500/C4500G/C5500/C6000/C6000G,SAVIN IM C4500/C4500G/C6000/C6000G,LANIER IM C4500/C4500G/C6000/C6000G,nashuatec IM C4500/C5500/C6000,Rex Rotary IM C4500/C5500/C6000,Gestetner IM C4500/C5500/C6000 E-2.00","Ricoh Company, Ltd.","JP","EAL2,ALC_FLR.2","PP_HCD_EAL2_V1.0","08/17/2021","08/17/2026","http://216.117.4.138:80/files/epfiles/c0726_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0726_est.pdf","","","",""
"Multi-Function Devices","RICOH IM C6000/C5500/C4500 J-2.00","Ricoh Company, Ltd.","JP","EAL2","PP_HCD_EAL2_V1.0","08/17/2021","08/17/2026","http://216.117.4.138:80/files/epfiles/c0727_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0727_est.pdf","","","",""
"Multi-Function Devices","HP PageWide Enterprise Color Flow MFP 785, HP PageWide Enterprise Color MFP 586, HP LaserJet Enterprise MFP M528, HP PageWide Managed Color Flow MFP E77650, HP PageWide Managed Color Flow MFP E77660, HP Color LaserJet Managed MFP E57540, HP LaserJet Managed MFP E52545, and HP LaserJet Managed MFP E52645 multifunction printers (MFPs) with HP FutureSmart 4.11.0.1 Firmware","HP Inc.","IT","None","PP_HCD_V1.0","07/19/2021","07/19/2026","http://216.117.4.138:80/files/epfiles/cr_hp_mfp_fs411_v1.1_en.pdf","http://216.117.4.138:80/files/epfiles/st_hp_mfp_3bcf_hcdpp_v1.2.pdf","","","",""
"Multi-Function Devices","HP Color LaserJet Enterprise M554/M555, HP Color LaserJet Enterprise M652/M653, HP Color LaserJet Managed E65050/E65060","HP Inc.","SE","None","","07/09/2021","07/09/2026","http://216.117.4.138:80/files/epfiles/Certification Report v2.0 - HP MS HCDPP.pdf","http://216.117.4.138:80/files/epfiles/Security Target v1.2 - HP MS HCDPP.pdf","","","",""
"Multi-Function Devices","HP Color LaserJet Enterprise MFP M578, HP LaserJet Managed Flow MFP E72525/E72530/E72535/E82540/E82550/E82560, HP Color LaserJet Managed Flow MFP, E77822/E77825/E77830/E87640/E87650/E87660/E78323/E78325/E78330","HP Inc.","SE","None","","07/09/2021","07/09/2026","http://216.117.4.138:80/files/epfiles/Certification Report v2.0 - HP CG HCDPP.pdf","http://216.117.4.138:80/files/epfiles/Security Target v1.2 - HP CG HCDPP.pdf","","","",""
"Multi-Function Devices","FUJIFILM Apeos C7070 / C6570 / C5570 / C4570 / C3570 / C3070 / C2570 / C7070 GK / C6570 GK / C5570 GK / C4570 GK / C3570 GK / C3070 GK  models with Copy, Print, Fax, Scan and Overwrite StorageController ROM Ver. 1.0.20, Fax ROM Ver. 2.2.1","FUJIFILM Business Innovation Corp.","JP","None","PP_HCD_V1.0","07/08/2021","07/08/2026","http://216.117.4.138:80/files/epfiles/c0724_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0724_est.pdf","","","",""
"Multi-Function Devices","FUJIFILM Apeos C8180 / C7580 / C6580 models with Copy, Print, Fax, Scan and Overwrite StorageController ROM Ver. 1.0.20, Fax ROM Ver. 2.2.1","FUJIFILM Business Innovation Corp.","JP","None","PP_HCD_V1.0","07/08/2021","07/08/2026","http://216.117.4.138:80/files/epfiles/c0725_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0725_est.pdf","","","",""
"Multi-Function Devices","KYOCERA TASKalfa 3554ci/2554ci/3554ciG/2554ciG, Copystar CS 3554ci/2554ci, TA Triumph-Adler 3508ci/2508ci, UTAX 3508ci/2508ci with Hard Disk and FAX System","KYOCERA Document Solutions Inc.","SE","EAL2,ALC_FLR.2","","05/12/2021","05/12/2026","http://216.117.4.138:80/files/epfiles/Certification report - TASKalfa 3554ci 2600PP.pdf","http://216.117.4.138:80/files/epfiles/ST - TASKalfa 3554ci 2600PP.pdf","","","",""
"Multi-Function Devices","KYOCERA TASKalfa 3554ci/2554ci/3554ciG/2554ciG, TA Triumph-Adler 3508ci/2508ci, UTAX 3508ci/2508ci with FAX System","KYOCERA Document Solutions Inc.","SE","EAL2,ALC_FLR.2","","05/12/2021","05/12/2026","http://216.117.4.138:80/files/epfiles/Certification report - KYOCERA TASKalfa 3554ci.pdf","http://216.117.4.138:80/files/epfiles/ST - KYOCERA TASKalfa 3554ci.pdf","","","",""
"Multi-Function Devices","KYOCERA TASKalfa 7004i/6004i/5004i/4004 i/7004iG/6004iG/5004iG, Copystar CS 7004i/6004i/5004i/4004i, TA Triumph-Adler 7058i/6058i/5058i, UTAX 7058i/6058i/5058i with Hard Disk and FAX System","KYOCERA Document Solutions Inc.","SE","EAL2,ALC_FLR.2","","05/12/2021","05/12/2026","http://216.117.4.138:80/files/epfiles/certification-report---kyocera-taskalfa-7004i-series-with-hard-disk-and-fax-system.pdf","http://216.117.4.138:80/files/epfiles/st---kyocera-taskalfa-7004i-2600pp.pdf","","","",""
"Multi-Function Devices","KYOCERA TASKalfa 7004i/6004i/5004i/7004iG/6004iG/5004iG,TA Triumph-Adler 7058i/6058i/5058i, UTAX 7058i/6058i/5058i with FAX System","KYOCERA Document Solutions Inc.","SE","EAL2,ALC_FLR.2","","05/12/2021","05/12/2026","http://216.117.4.138:80/files/epfiles/certification-report---kyocera-taskalfa-7004i-series-with-fax-system.pdf","http://216.117.4.138:80/files/epfiles/st---kyocera-taskalfa-7004i.pdf","","","",""
"Multi-Function Devices","KYOCERA TASKalfa 7054ci/6054ci/5054ci/4054ci/7054ciG/6054ciG/5054ciG/4054ciG, Copystar CS 7054ci/6054ci/CS 5054ci/CS 4054ci, TA Triumph-Adler 7008ci/6008ci/5008ci/4008ci UTAX 7008ci/6008ci/5008ci/4008ci with Hard Disk and FAX System","KYOCERA Document Solutions Inc.","SE","EAL2,ALC_FLR.2","","05/12/2021","05/12/2026","http://216.117.4.138:80/files/epfiles/certification-report---kyocera-taskalfa-7054ci-series-with-hard-disk-and-fax-system.pdf","http://216.117.4.138:80/files/epfiles/st---kyocera-taskalfa-7054ci-2600pp.pdf","","","",""
"Multi-Function Devices","KYOCERA TASKalfa 7054ci/6054ci/5054ci/4054ci/7054ciG/6054ciG/5054ciG/4054ciG, TA Triumph-Adler 7008ci/6008ci/5008ci/4008ci UTAX 7008ci/6008ci/5008ci/4008ci with FAX System","KYOCERA Document Solutions Inc.","SE","EAL2,ALC_FLR.2","","05/12/2021","05/12/2026","http://216.117.4.138:80/files/epfiles/certification-report---kyocera-taskalfa-7054ci-series-with-fax-system.pdf","http://216.117.4.138:80/files/epfiles/st---kyocera- kyocera-taskalfa-7054ci-series-with-fax-system.pdf","","","",""
"Multi-Function Devices","RICOH Pro C5300SL,  nashuatec Pro C5300SL, Rex Rotary Pro C5300SL, Gestetner Pro C5300SL, infotec Pro C5300SLE-1.00","Ricoh Company, Ltd.","JP","EAL2+,ALC_FLR.2","PP_HCD_EAL2_V1.0","05/11/2021","05/11/2026","http://216.117.4.138:80/files/epfiles/c0722_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0722_est.pdf","","","",""
"Multi-Function Devices","KONICA MINOLTA AccurioPress C4080 / AccurioPress C4070 / AccurioPrint C4065 with UK-112GM2-20","KONICA MINOLTA, INC.","JP","None","PP_HCD_V1.0","04/15/2021","04/15/2026","http://216.117.4.138:80/files/epfiles/c0720_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0720_est.pdf","","","",""
"Multi-Function Devices","RICOH Pro C5300S/C5310S,SAVIN Pro C5300S/C5310S,LANIER Pro C5300S/C5310S,nashuatec Pro C5300S/C5310S,Rex Rotary Pro C5300S/C5310S,Gestetner Pro C5300S/C5310S,infotec Pro C5300S/C5310S E-1.00","Ricoh Company, Ltd.","JP","EAL2+,ALC_FLR.2","PP_HCD_EAL2_V1.0","04/14/2021","04/14/2026","http://216.117.4.138:80/files/epfiles/c0719_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0719_est.pdf","","","",""
"Multi-Function Devices","RICOH Pro C5310S/C5300S J-1.00","Ricoh Company, Ltd.","JP","EAL2+,ALC_FLR.2","PP_HCD_EAL2_V1.0","04/14/2021","04/14/2026","http://216.117.4.138:80/files/epfiles/c0718_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0718_est.pdf","","","",""
"Multi-Function Devices","KONICA MINOLTA AccurioPress C14000/C12000 with UK-112/PF-713GM0-20","KONICA MINOLTA, INC.","JP","None","PP_HCD_V1.0","03/24/2021","03/24/2026","http://216.117.4.138:80/files/epfiles/c0715_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0715_est.pdf","","","",""
"Multi-Function Devices","KONICA MINOLTA bizhub 4750i/bizhub 4050i with FK-517,DEVELOP ineo 4750i/ineo 4050i with FK-517 G00-19","KONICA MINOLTA, INC.","JP","None","PP_HCD_V1.0","03/10/2021","03/10/2026","http://216.117.4.138:80/files/epfiles/c0714_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0714_est.pdf","","","",""
"Multi-Function Devices","KONICA MINOLTA bizhub C287i/bizhub C257i/bizhub C227i with FK-513, DEVELOP ineo+ 287i/ineo+ 257i/ineo+ 227i with FK-513 G00-16","KONICA MINOLTA, INC.","JP","None","PP_HCD_V1.0","03/10/2021","03/10/2026","http://216.117.4.138:80/files/epfiles/c0713_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0713_est.pdf","06/01/2021","KONICA MINOLTA bizhub C287i/bizhub C257i/bizhub C227i with FK-513, 
DEVELOP ineo+ 287i/ineo+ 257i/ineo+ 227i with FK-513,Sindoh D322/D332A/D332E/D331E/D320/D330A/D330E/CM2103/CM2043 with FK-513
G00-16","http://216.117.4.138:80/files/epfiles/c0713kz_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0713kz_est.pdf"
"Multi-Function Devices","KONICA MINOLTA bizhub C287i/bizhub C257i/bizhub C227i with FK-513, DEVELOP ineo+ 287i/ineo+ 257i/ineo+ 227i with FK-513 G00-16","KONICA MINOLTA, INC.","JP","None","PP_HCD_V1.0","03/10/2021","03/10/2026","http://216.117.4.138:80/files/epfiles/c0713_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0713_est.pdf","","","",""
"Multi-Function Devices","RICOH IM C6500/C8000, SAVIN IM C6500/C8000, LANIER IM C6500/C8000, nashuatec IM C6500/C8000, Rex Rotary IM C6500/C8000, Gestetner IM C6500/C8000 E-1.00","Ricoh Company, Ltd.","JP","EAL2+,ALC_FLR.2","PP_HCD_EAL2_V1.0","03/10/2021","03/10/2026","http://216.117.4.138:80/files/epfiles/c0712_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0712_est.pdf","","","",""
"Multi-Function Devices","RICOH IM C8000/C6500 J-1.00","Ricoh Company, Ltd.","JP","EAL2+,ALC_FLR.2","PP_HCD_EAL2_V1.0","03/10/2021","03/10/2026","http://216.117.4.138:80/files/epfiles/c0711_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0711_est.pdf","","","",""
"Multi-Function Devices","Fuji Xerox ApeosPort 5570/4570/3570/5570 G/4570 G models with Copy, Print, Fax, Scan and Overwrite StorageController ROM Ver. 1.5.3, Fax ROM Ver. 2.2.1","FUJIFILM Business Innovation Corp.","JP","None","PP_HCD_V1.0","02/17/2021","02/17/2026","http://216.117.4.138:80/files/epfiles/c0708_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0708_est.pdf","","","",""
"Multi-Function Devices","SHARP MX-8081 fax standard model with MX-FR65U; and MX-8081 / 7081 fax option model with MX-FR65U and MX-FX150110Se00","Sharp Corporation","JP","None","PP_HCD_V1.0","02/17/2021","02/17/2026","http://216.117.4.138:80/files/epfiles/c0710_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0710_est.pdf","","","",""
"Multi-Function Devices","SHARP MX-8081/7081 fax option model with MX-FR65U0110Se00","Sharp Corporation","JP","None","PP_HCD_V1.0","02/17/2021","02/17/2026","http://216.117.4.138:80/files/epfiles/c0709_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0709_est.pdf","","","",""
"Multi-Function Devices","Fuji Xerox ApeosPort 3560/3060/2560/3560 G/3060 G/2560 G models with Copy, Print, Fax, Scan and Overwrite StorageController ROM Ver. 1.5.3, Fax ROM Ver. 2.2.1","FUJIFILM Business Innovation Corp.","JP","None","PP_HCD_V1.0","02/08/2021","02/08/2026","http://216.117.4.138:80/files/epfiles/c0705_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0705_est.pdf","","","",""
"Multi-Function Devices","Fuji Xerox ApeosPort C3060/C2560/C2360/C2060/C3060 G/C2560 G/C2060 G models with Copy, Print, Fax, Scan and Overwrite StorageController ROM Ver. 1.5.3, Fax ROM Ver. 2.2.1","FUJIFILM Business Innovation Corp.","JP","None","PP_HCD_V1.0","02/08/2021","02/08/2026","http://216.117.4.138:80/files/epfiles/c0704_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0704_est.pdf","","","",""
"Multi-Function Devices","Fuji Xerox ApeosPort-VII 5022/5021/4021 models with Copy, Print, Fax, Scan and Overwrite StorageController ROM Ver. 1.5.3","FUJIFILM Business Innovation Corp.","JP","None","PP_HCD_V1.0","02/08/2021","02/08/2026","http://216.117.4.138:80/files/epfiles/c0707_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0707_est.pdf","","","",""
